IOU img(b (110).png)  : 0.9284085115517751
Precision, Recall img(b (110).png)  : 0.9867385352498289, 0.9401391228737569
IOU img(a56.png)  : 0.8640498319161558
Precision, Recall img(a56.png)  : 0.961174659040915, 0.8952976129494928
IOU img(a7.png)  : 0.8214191506198892
Precision, Recall img(a7.png)  : 0.9766347812450996, 0.8378851069554688
IOU img(b (116).png)  : 0.9490947470975075
Precision, Recall img(b (116).png)  : 0.9724648531736129, 0.975304521942266
IOU img(a21.png)  : 0.9127862884877901
Precision, Recall img(a21.png)  : 0.936799501867995, 0.9726846613867788
IOU img(b (80).png)  : 0.8317955997161107
Precision, Recall img(b (80).png)  : 0.9106449106449106, 0.9057187017001546
IOU img(a71.png)  : 0.9086592810309745
Precision, Recall img(a71.png)  : 0.9172807303553961, 0.9897621728117084
IOU img(a70.png)  : 0.904883812524616
Precision, Recall img(a70.png)  : 0.9317179500177422, 0.9691537041919325
IOU img(a52.png)  : 0.9286523545304012
Precision, Recall img(a52.png)  : 0.9629484591981203, 0.963064501551532
IOU img(b (88).png)  : 0.9043147322433905
Precision, Recall img(b (88).png)  : 0.9869494691309477, 0.9152592592592592
IOU img(b (61).png)  : 0.9477455251692825
Precision, Recall img(b (61).png)  : 0.9888006571741511, 0.9580293423182024
IOU img(b (69).png)  : 0.9476559195159184
Precision, Recall img(b (69).png)  : 0.9720230908542107, 0.9742285584631675
IOU img(b (23).png)  : 0.9400137899333486
Precision, Recall img(b (23).png)  : 0.9516546018614271, 0.9871543886937166
IOU img(a24.png)  : 0.9465345415497071
Precision, Recall img(a24.png)  : 0.9692310660133493, 0.9758575146641806
IOU img(a23.png)  : 0.9570605795615595
Precision, Recall img(a23.png)  : 0.9764644351464435, 0.9796592382245818
IOU img(a18.png)  : 0.8923876748805951
Precision, Recall img(a18.png)  : 0.9646365422396856, 0.9225693685820406
IOU img(b (68).png)  : 0.9512812793312908
Precision, Recall img(b (68).png)  : 0.9832692659710781, 0.9669324788940291
IOU img(b (129).png)  : 0.9361511666374764
Precision, Recall img(b (129).png)  : 0.9919171924615449, 0.9433473869987253
IOU img(b (82).png)  : 0.9548761305544632
Precision, Recall img(b (82).png)  : 0.9821527883108347, 0.9717372817767995
IOU img(b (100).png)  : 0.9048637286169904
Precision, Recall img(b (100).png)  : 0.9830301598551067, 0.9192224144913663
IOU img(a57.png)  : 0.938590140196143
Precision, Recall img(a57.png)  : 0.9856234448437932, 0.9516182849516183
IOU img(a30.png)  : 0.8918865888354753
Precision, Recall img(a30.png)  : 0.9606128648791441, 0.9257401797306586
IOU img(b (4).png)  : 0.9657051430691462
Precision, Recall img(b (4).png)  : 0.985844478636525, 0.9792842362678705
IOU img(b (38).png)  : 0.9511367080933616
Precision, Recall img(b (38).png)  : 0.9800112436754326, 0.9699536321483772
